OBJECTID,ClassName,ClassValue,ORIG_FID,B2,B3,B4,B8,CMRI,EVI,GNDVI,NDVI,NDWI,SAVI,VV,GLCM_Mean,GLCM_Homogeinity,GLCM_Entropy,GLCM_Correlation
564,Water,7,710,0.071999997,0.081900001,0.071599998,0.062399998,-0.203791872,-0.024159662,-0.135135159,-0.068656713,0.067100994,-0.02176656,-12.53583145,18.9642849,0.496711731,7.170295238,0.906158864
565,Water,7,711,0.075300001,0.087899998,0.073299997,0.0581,-0.319786876,-0.040722277,-0.204109579,-0.115677297,0.090570733,-0.036110222,-13.66946983,16.41428566,0.608820438,5.54245615,0.895532429
566,Water,7,712,0.069200002,0.084200002,0.067299999,0.0504,-0.394699812,-0.045177501,-0.251114428,-0.143585384,0.111551173,-0.041039336,-12.03596401,18.77857208,0.553168893,6.77766943,0.884863019
567,Water,7,713,0.068300001,0.080799997,0.067699999,0.056000002,-0.275870174,-0.030791087,-0.181286514,-0.094583645,0.088215478,-0.02813852,-11.84219933,20.6428566,0.421798766,6.396359444,0.859048843
568,Water,7,714,0.065800004,0.078599997,0.0678,0.059,-0.211842462,-0.022626761,-0.142441839,-0.069400631,0.073770471,-0.021059349,-11.31579876,18.47857094,0.724621654,5.629556656,0.881118357
569,Water,7,716,0.084399998,0.093599997,0.079099998,0.046700001,-0.59183532,-0.091185398,-0.33428365,-0.25755164,0.083960623,-0.07766059,-18.20874405,12.30000019,1.119498372,3.60287118,0.950982153
570,Water,7,717,0.071199998,0.085600004,0.071400002,0.0535,-0.374083906,-0.047209624,-0.230769247,-0.14331466,0.090445869,-0.042966876,-14.73368073,13.35714245,1.207058787,3.009450912,0.978063285
571,Water,7,718,0.066799998,0.086099997,0.075800002,0.057399999,-0.338138133,-0.045490511,-0.199999988,-0.13813816,0.063619494,-0.043588128,-14.71123409,14.18571472,0.998205543,3.717778921,0.923159003
572,Water,7,719,0.077200003,0.085600004,0.071599998,0.046,-0.518598914,-0.071380764,-0.300911874,-0.217687055,0.089058563,-0.062176161,-20.90196609,10.35714245,1.639999986,1.255940318,0.987394929
573,Water,7,720,0.082199998,0.092699997,0.076800004,0.025800001,-1.061632991,-0.14653489,-0.564556956,-0.497076035,0.093805268,-0.126949891,-20.90911865,8.757143021,1.402857184,1.93688941,0.982044697
574,Water,7,724,0.060199998,0.079899997,0.057999998,0.045000002,-0.405637056,-0.034519374,-0.279423505,-0.126213565,0.15881072,-0.032338299,-10.28601456,26.32857132,0.423330784,7.428131104,0.920211136
575,Water,7,725,0.072700001,0.084200002,0.068000004,0.057,-0.280634612,-0.029899439,-0.192634568,-0.088000029,0.106438883,-0.026400009,-9.147762299,24.38571358,0.802277744,4.784785271,0.958352625
576,Water,7,726,0.064999998,0.079499997,0.059599999,0.081200004,0.163987875,0.056764439,0.010578758,0.153409123,0.143062532,0.050561808,-8.990423203,24.42142868,0.41817373,7.089903831,0.913422704
577,Water,7,727,0.066,0.082800001,0.057599999,0.046,-0.397683382,-0.032344408,-0.285714298,-0.111969106,0.179487199,-0.028827036,-7.943061829,28.6428566,0.373985082,7.216549873,0.943396866
578,Water,7,728,0.072700001,0.082999997,0.054000001,0.0491,-0.304150432,-0.01479737,-0.256623745,-0.047526684,0.211678803,-0.012187036,-6.350171089,34.23571396,0.471619755,6.333763123,0.975810587
579,Water,7,729,0.065200001,0.077600002,0.051600002,0.040199999,-0.441670328,-0.033108745,-0.317487299,-0.124183036,0.201238394,-0.028894905,-11.93822479,19.47142792,0.543876529,6.225902557,0.882320762
580,Water,7,730,0.067900002,0.080799997,0.052999999,0.0482,-0.300143987,-0.014003149,-0.252713174,-0.047430824,0.207772776,-0.011976046,-10.9719677,22.56428528,0.327416301,6.97188139,0.851486623
581,Water,7,731,0.0704,0.075800002,0.053800002,0.0403,-0.44923529,-0.040414326,-0.305770904,-0.143464416,0.169753075,-0.034085173,-17.13509369,15.40714264,0.934294999,4.513500214,0.795531034
582,Water,7,732,0.066699997,0.082099997,0.050999999,0.0306,-0.706965387,-0.060979251,-0.456965387,-0.249999985,0.233658895,-0.052613478,-17.20192146,14.35714245,1.179960132,3.649507284,0.852529705
583,Water,7,733,0.067900002,0.080200002,0.0614,0.059599999,-0.162229419,-0.004897961,-0.147353381,-0.014876039,0.132768378,-0.004347828,-10.17354965,23.90714264,0.395909488,7.819457054,0.873847425
584,Water,7,734,0.068400003,0.077500001,0.059599999,0.068599999,0.009285615,0.024638632,-0.060917191,0.070202805,0.13056165,0.02148997,-10.20334435,18.86428642,0.779661477,5.167984962,0.954599917
585,Water,7,735,0.074699998,0.086900003,0.070200004,0.046300001,-0.509955049,-0.065858364,-0.304804802,-0.205150232,0.10630171,-0.058150858,-11.16093445,19.4285717,0.638120055,5.998212337,0.877081335
586,Water,7,736,0.077799998,0.088799998,0.062600002,0.036400001,-0.683176756,-0.079058535,-0.418530315,-0.264646471,0.173051491,-0.065609351,-10.31644821,18.2857151,0.638170898,6.129103184,0.947432876
587,Water,7,737,0.075300001,0.086400002,0.072800003,0.0546,-0.36838907,-0.04910161,-0.225531921,-0.142857164,0.085427128,-0.043512918,-9.743561745,24.45714378,0.387898564,7.817092419,0.910704076
588,Water,7,738,0.070600003,0.082000002,0.054900002,0.044399999,-0.403208584,-0.031090854,-0.297468364,-0.105740204,0.197954714,-0.026280668,-11.79406452,20.77142906,0.583892465,6.00054121,0.846995473
